"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1980 Västerås","Tax revenues",2871689,3059583,3297506,3538956,3724128,3921710,4030857,4157669,4408543,4594928,4818693,4885508,4958717,5169960,5359040,5567291,5763700,6065843,6391926,6672243,6842894,7087115,7133579,7560260,8035455
"1980 Västerås","General grants and equalisation grants",330180,338384,314863,269716,301799,286590,269189,440811,517780,600009,633622,691047,906953,906132,948807,1014734,972388,874712,1022808,1105401,1227145,1373503,1784768,1861054,1815917
"1980 Västerås","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,304935,506059,915687,785457
"1980 Västerås","Financial income",321326,234231,244702,254951,289581,284272,325680,240860,321511,332774,347477,238949,170710,268257,282455,242983,237703,200851,132488,137961,150866,625647,248476,434466,327798
"1980 Västerås","Financial costs",-289648,-210402,-185983,-197601,-252767,-222596,-190801,-170694,-224148,-246326,-261323,-107221,-81683,-195631,-160659,-176167,-137645,-79127,-80756,-99137,-90847,-401739,-211682,-155528,-517171
"1980 Västerås","Net profit/loss after financial items",18813,34900,88070,29526,-15045,32438,97173,146053,359995,292657,242693,204035,178541,203511,225655,218750,25991,444987,394792,517695,344142,528843,542853,1194625,596084
"1980 Västerås","Net profit/loss for the year",58057,589000,88070,29526,49231,56521,97173,116053,291116,227657,193693,204035,143541,203511,225655,218750,25991,444987,394792,517695,344142,528843,542853,1194625,596084
"1981 Sala","Total income for operations",207191,195614,185006,206995,250034,247383,225064,243545,554465,370798,257088,252693,307461,248952,266665,282091,274040,318872,399896,409142,362601,336329,369255,348254,367187
"1981 Sala","Total costs for operations",-779756,-796968,-833219,-900539,-959920,-975497,-954655,-996206,-1346197,-1191321,-1119433,-1137914,-1176775,-1212248,-1232826,-1250674,-1336727,-1395382,-1534792,-1590037,-1693008,-1690365,-1727119,-1770355,-1889454
"1981 Sala","Total net current costs",-604316,-636093,-679994,-728491,-740991,-773881,-773979,-800893,-835694,-871703,-919642,-923880,-912105,-1007629,-1012697,-1019805,-1113051,-1124836,-1185914,-1232249,-1383347,-1416474,-1426090,-1496588,-1599637
"1981 Sala","Tax revenues",474698,502111,536468,570486,592638,609982,621377,648101,683281,708239,735738,746145,762076,789878,819934,839005,854484,892769,933048,974859,998571,1030640,1024435,1076684,1137312
"1981 Sala","General grants and equalisation grants",138648,138326,147618,159314,167218,175500,171896,176897,182287,191982,200683,197696,233759,238075,237755,252457,265040,268551,304838,320542,346516,364429,437499,449989,458659
"1981 Sala","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-21405,35844,30085,-3666
"1981 Sala","Financial income",1311,2750,10188,4111,6689,7033,4027,3905,3571,5137,8995,4734,3350,3610,4320,4688,4826,4276,5511,5687,6288,6457,8264,6535,7274
"1981 Sala","Financial costs",-11357,-6524,-7303,-8651,-10930,-10625,-8174,-6653,-6785,-8747,-10186,-9192,-7285,-11442,-10034,-11239,-10165,-7572,-5106,-3875,-4433,-6480,-6087,-5476,-6364
"1981 Sala","Net profit/loss after financial items",-1329,71,5853,-4733,13017,6182,14429,20751,26007,24163,14734,14076,79328,12492,39278,65106,1134,33188,52377,64964,-36405,-21428,38021,31144,-2756
"1981 Sala","Net profit/loss for the year",-15224,-67389,106965,-4733,13017,6182,14429,20751,26007,24163,14734,14076,79328,12492,39278,65106,1134,38950,52377,64964,-36405,-21428,38021,31144,-2756
"1982 Fagersta","Total income for operations",122318,127181,123427,141993,158654,154033,133318,131191,135732,138396,141898,140929,171096,170876,187229,175899,172886,199268,252173,235610,235648,222781,231881,232228,243240
"1982 Fagersta","Total costs for operations",-473771,-533385,-490415,-517814,-552109,-583911,-576341,-586028,-602659,-608913,-644947,-686474,-720058,-745825,-759122,-788919,-843428,-904085,-998990,-990965,-1039035,-1038711,-1079577,-1090915,-1168184
"1982 Fagersta","Total net current costs",-393723,-448740,-400271,-406410,-427010,-463622,-475960,-490042,-501766,-508066,-540719,-566344,-569471,-596614,-594250,-635654,-691317,-728011,-770757,-778675,-830202,-842995,-875144,-887399,-955869
"1982 Fagersta","Tax revenues",338874,355381,380958,394469,403127,412916,413120,424659,445853,462336,483094,480097,481003,485803,497987,515331,526739,543556,568856,589677,599290,616209,608694,641948,659973
"1982 Fagersta","General grants and equalisation grants",51105,48270,42897,46341,53639,64526,65473,70841,71103,67720,69372,82266,98179,112425,120528,128625,145062,174517,224275,210266,215748,217444,262585,257873,293965
"1982 Fagersta","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-9341,-3865,12422,-1931
"1982 Fagersta","Financial income",3054,2100,4329,10335,11494,11712,12603,17032,13744,16920,21212,18400,16637,19169,19134,26535,25059,42235,22503,23250,72856,63805,17489,67400,12602
"1982 Fagersta","Financial costs",-9854,-4719,-4019,-2119,-1990,-1989,-803,-391,-234,-213,-254,-130,-155,-2580,-1466,-10760,-3365,-3887,-1626,-2652,-11869,-2855,-21841,-2603,-50375
"1982 Fagersta","Net profit/loss after financial items",-10739,-48249,23393,42170,38939,23242,14099,21816,28381,38241,32111,13625,25817,18203,41933,24077,2178,28410,43251,41866,45823,51609,-8218,77219,-39704
"1982 Fagersta","Net profit/loss for the year",-5214,-5113,24180,42170,38939,22942,17642,21816,28381,38241,32111,13625,25817,18203,41933,24077,2178,28410,43251,41866,45823,51609,-8218,77219,-39704
"1983 Köping","Total income for operations",280948,277923,279001,284441,313430,303801,318733,317395,327666,328371,346822,377456,395410,392093,446076,443685,460758,487600,548405,436748,446727,442840,407056,412770,435074
"1983 Köping","Total costs for operations",-939975,-980648,-1011173,-1057310,-1095151,-1117919,-1149413,-1181970,-1236764,-1294304,-1372831,-1425708,-1482756,-1516320,-1575185,-1632321,-1718413,-1795838,-1924851,-1886541,-1927967,-1973804,-1977228,-2106524,-2203656
"1983 Köping","Total net current costs",-716555,-757912,-785980,-827096,-841807,-882612,-893631,-927003,-970096,-1034548,-1090432,-1086784,-1129026,-1169371,-1183084,-1239650,-1309985,-1363537,-1434375,-1502929,-1533974,-1586268,-1618347,-1754676,-1835307
"1983 Köping","Tax revenues",568653,597958,646655,682459,707833,733500,747241,778531,835441,863559,900935,911410,922269,922902,947381,989116,1006466,1046434,1100164,1147208,1170210,1220823,1207330,1248192,1296817
"1983 Köping","General grants and equalisation grants",148115,148242,134586,145219,148004,150900,144429,165260,159536,176420,192526,192678,231479,262256,275308,277722,301397,317308,332683,361429,401799,406252,495460,534177,539640
"1983 Köping","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40807,84443,27693,1150
"1983 Köping","Financial income",7398,10177,10221,10640,9612,10972,10796,10419,11765,12282,11975,12851,10135,12203,11821,11853,11320,43511,12919,13110,40186,36979,37542,25869,34134
"1983 Köping","Financial costs",-10495,-8528,-7210,-6549,-6326,-5191,-3335,-1849,-1904,-1917,-737,-1000,-28,-9564,-6697,-10992,-1896,-2502,-2066,-2698,-2804,-5096,-5873,-4601,-9294
"1983 Köping","Net profit/loss after financial items",-3239,-11032,-3056,2871,15446,5484,3166,23132,32630,14526,12532,26260,33824,18426,44729,28049,7302,41214,9325,16120,75417,72690,116112,48961,25990
"1983 Köping","Net profit/loss for the year",132596,-11032,-3056,18492,15446,14245,10471,23132,32630,14526,12532,26260,33824,18426,44729,28049,7302,41214,9325,16120,75417,72690,116112,48961,25990
"1984 Arboga","Total income for operations",148505,152210,139358,147292,167697,173004,195052,149785,158308,155622,143953,148584,142883,138637,149986,143970,155978,173509,262972,246117,217755,213359,175271,161964,185374
"1984 Arboga","Total costs for operations",-469309,-501745,-509930,-535437,-570169,-598360,-617700,-609873,-636095,-667011,-663554,-694841,-720293,-745822,-758526,-782239,-824989,-893831,-980402,-1014768,-1035365,-1030135,-1000038,-1051009,-1154710
"1984 Arboga","Total net current costs",-357459,-387329,-405811,-428696,-443315,-476397,-475992,-504822,-522890,-559936,-573287,-585383,-615898,-632264,-634218,-665810,-695810,-743965,-740792,-791045,-840366,-842247,-842487,-906895,-996369
"1984 Arboga","Tax revenues",317110,336318,353352,373093,389332,403864,407581,416906,439242,449922,469908,471128,476977,487508,496957,510679,522739,542005,585538,607851,620796,644051,642667,677395,707515
"1984 Arboga","General grants and equalisation grants",58801,59462,69788,69586,67524,75619,77849,91894,98758,108769,109323,114484,127996,137231,142508,146361,159251,176813,174626,179251,185417,195561,232884,240082,250715
"1984 Arboga","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2635,33064,10582,-38139
"1984 Arboga","Financial income",4759,6606,6486,7205,7528,6793,7176,14174,10088,9476,9322,11833,13130,29180,26566,26707,23650,44341,21420,21811,30759,22675,24700,22970,20799
"1984 Arboga","Financial costs",-12748,-12201,-14290,-15479,-17021,-16459,-14115,-11950,-7331,-8758,-10834,-7710,-5393,-13600,-10904,-13183,-8214,-7278,-4686,-5385,-5072,-5559,-5478,-3668,-2969
"1984 Arboga","Net profit/loss after financial items",10277,2336,8898,4752,3700,-7000,1883,5619,17258,-1334,3438,2561,-3781,8055,20909,4754,1616,11916,36106,12483,-8466,14481,52286,29884,-20309
"1984 Arboga","Net profit/loss for the year",101696,2336,8898,4752,3700,-7000,27591,5619,17258,-1334,3438,2561,-3781,8055,20909,4754,1616,11916,69250,12483,-8466,14481,52286,29884,-20309
"2021 Vansbro","Total income for operations",74313,70165,66255,68902,82227,86305,91751,89748,98396,95067,104433,109702,104296,83012,84051,71815,72762,93453,127306,112246,106488,132371,110201,120987,100388
"2021 Vansbro","Total costs for operations",-289924,-299060,-309131,-320839,-342185,-356491,-355931,-363563,-391141,-400541,-409142,-423613,-417649,-399857,-400317,-406470,-420002,-448691,-503223,-509532,-515518,-522941,-509537,-545722,-573483
"2021 Vansbro","Total net current costs",-235700,-250407,-264216,-277958,-285952,-297086,-291986,-300355,-318202,-331726,-333455,-335453,-333389,-333791,-333485,-347808,-359447,-368765,-392974,-412454,-423547,-406412,-413336,-439226,-488642
"2021 Vansbro","Tax revenues",148038,160947,166665,177172,181928,190275,197124,206798,217007,223827,224545,225844,226990,231444,237341,242389,248244,256127,267807,277648,279214,286537,281563,297484,317554
"2021 Vansbro","General grants and equalisation grants",85942,84976,89362,92019,96361,95379,97350,103464,103292,107621,111590,107948,120398,112264,113991,117119,120040,121467,131706,130351,128722,130818,159284,171002,172425
"2021 Vansbro","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10943,27511,29260,1337
"2021 Vansbro","Financial income",188,397,91,107,924,433,510,448,495,694,804,636,360,3171,3036,11611,7530,5285,5612,3038,3946,2992,1283,773,1494
"2021 Vansbro","Financial costs",-431,-233,-446,-2187,-4678,-5085,-5341,-5139,-3979,-3566,-12042,-10431,-7052,-10666,-9061,-8482,-6161,-5154,-5274,-2200,-1842,-33378,-2659,-1956,-2135
"2021 Vansbro","Net profit/loss after financial items",-2080,-4604,-8928,-11344,-11931,-16680,-2937,4630,-1971,-3811,-9359,-12561,6717,2422,11822,14829,10206,8960,6877,-3617,-13507,-19443,26135,28077,696
"2021 Vansbro","Net profit/loss for the year",-2080,-4604,-8928,-11344,-11931,-16680,-2937,4630,-1971,-3811,-9359,-12561,6717,2422,11822,14829,10206,8960,6877,-3617,-13507,-35507,26135,28077,696
"2023 Malung-Sälen","Total income for operations",159771,165529,164269,165668,165137,174918,202460,177151,206726,189949,203704,199063,215021,202112,157083,177409,177741,196366,267233,261456,204063,209454,197293,208769,212714
"2023 Malung-Sälen","Total costs for operations",-467774,-483941,-498174,-508199,-524746,-545306,-582216,-575643,-622740,-630390,-664990,-667366,-689995,-683788,-698796,-713225,-742915,-768808,-834780,-877013,-820256,-819053,-837697,-857378,-925570
"2023 Malung-Sälen","Total net current costs",-334666,-343774,-361449,-372272,-389743,-401655,-416244,-432566,-452918,-480346,-501512,-498905,-507724,-515083,-567853,-562765,-594090,-603023,-598788,-644431,-643879,-637688,-665801,-675996,-742006
"2023 Malung-Sälen","Tax revenues",225012,239093,257791,272162,282341,288078,295970,310414,326073,336611,340392,346236,355085,368917,380666,386800,392042,407984,430171,445163,448380,461640,459130,487060,510469
"2023 Malung-Sälen","General grants and equalisation grants",101675,95903,98038,101338,111129,114754,116872,123045,127711,138102,154881,155210,175852,170951,166496,173946,166623,161746,179135,190663,189968,195947,226063,241197,235138
"2023 Malung-Sälen","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19899,19392,52261,3601
"2023 Malung-Sälen","Financial income",2595,2255,1775,2580,3956,3969,4684,6314,4593,7045,5218,8026,8672,5555,10898,10840,11245,10168,10362,11443,13150,13793,30984,14452,20189
"2023 Malung-Sälen","Financial costs",-1519,-1005,-1443,-2258,-2984,-3596,-3273,-2757,-6532,-4498,-8831,-5362,-5023,-7987,-8597,-8899,-8558,-7475,-6704,-5764,-2810,-2000,-3215,-1534,-1713
"2023 Malung-Sälen","Net profit/loss after financial items",-7331,-8124,-5769,1367,4456,1352,-2155,4347,-1161,-3182,-9939,5082,26829,22353,-18390,-78,-32738,-30600,14176,-2926,4809,31692,47161,65179,22077
"2023 Malung-Sälen","Net profit/loss for the year",-7331,-8124,-5769,-3369,-370,1352,-2155,4347,-1161,-23182,-9939,5082,26829,22353,-18390,-78,-32738,-30600,14176,-2926,4809,31692,47161,65179,22077
"2026 Gagnef","Total income for operations",64145,68733,74735,79579,90836,93312,111247,110338,107593,103308,99094,67661,70482,82621,90326,83456,83388,99009,137080,130673,91138,87967,100475,98192,107516
"2026 Gagnef","Total costs for operations",-345339,-357971,-366618,-390681,-419331,-432952,-459737,-475554,-478639,-502835,-524171,-504490,-519627,-535308,-537875,-545945,-573265,-604695,-664208,-680898,-664392,-679785,-695228,-736508,-768725
"2026 Gagnef","Total net current costs",-301168,-308068,-310314,-332086,-350085,-362500,-371350,-389280,-404227,-428109,-455500,-454136,-468006,-475074,-468385,-487006,-512326,-527753,-550049,-581870,-595343,-615630,-619905,-663682,-688534
"2026 Gagnef","Tax revenues",213899,219124,237517,254545,264648,276883,291366,300348,319048,331576,351214,355481,359679,373694,386142,398967,411481,427668,445142,464400,463829,480044,476985,493317,520787
"2026 Gagnef","General grants and equalisation grants",86721,88709,86238,84858,90559,93722,89047,93732,92694,96955,97094,102512,112753,105730,104293,108149,113014,112804,120128,136809,147434,153898,181862,196451,199325
"2026 Gagnef","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18312,38942,26086,31578
"2026 Gagnef","Financial income",721,866,864,1106,974,1659,1602,1114,1711,7694,616,3365,2976,3456,3982,6250,7442,6879,7051,5973,5620,5012,4497,4441,5450
"2026 Gagnef","Financial costs",-7141,-7762,-5771,-5589,-4861,-5066,-4202,-4867,-5074,-6847,-8468,-6117,-5921,-7731,-7782,-9313,-9987,-8659,-7978,-6678,-3889,-3629,-3333,-3648,-5721
"2026 Gagnef","Net profit/loss after financial items",-7155,-7534,7915,2045,1132,4616,6377,1002,4114,1214,-15044,1105,1481,75,18250,17047,9624,10939,14294,18634,17651,19695,40106,26879,31307
"2026 Gagnef","Net profit/loss for the year",-7155,-7534,7915,2045,1132,4616,6377,1002,4114,1214,-15044,1105,1481,75,18250,17047,9624,10939,14294,18634,17651,19695,40106,26879,31307
"2029 Leksand","Total income for operations",111768,126113,120358,139842,147100,146775,161244,207384,171210,161066,126367,133815,159872,157400,177931,180683,184909,205431,269190,249413,226879,198736,187724,188460,212829
"2029 Leksand","Total costs for operations",-521045,-548753,-570255,-608849,-643468,-653138,-680478,-746313,-719883,-742090,-735724,-762331,-795357,-830217,-862174,-862679,-884543,-919251,-1032069,-1049014,-1081569,-1057197,-1067118,-1099481,-1182142
"2029 Leksand","Total net current costs",-435261,-452211,-478361,-501581,-531304,-543922,-558094,-578331,-584845,-610717,-655025,-659956,-666926,-706956,-721863,-723739,-736913,-752988,-802108,-846237,-892887,-897795,-920186,-952852,-1014478
"2029 Leksand","Tax revenues",304661,327568,356947,384737,405069,422636,436232,458004,490091,512240,535734,558938,562273,582663,598648,616881,634391,656776,685992,718633,712748,729201,718794,762236,801816
"2029 Leksand","General grants and equalisation grants",117867,113591,113164,113622,130173,129025,123098,129144,122021,124869,128353,123713,146718,138110,135940,139998,137720,139401,152014,151139,164220,175086,224277,223516,240404
"2029 Leksand","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6492,22885,32900,27742
"2029 Leksand","Financial income",2685,2874,3143,2881,2898,2647,2445,2033,3917,28445,1569,2357,2138,2566,2658,2569,2291,2228,4849,4783,9077,6439,6079,6378,7574
"2029 Leksand","Financial costs",-7063,-6099,-5452,-4105,-4238,-3483,-3719,-4314,-5349,-5241,-5151,-3301,-3009,-8718,-8090,-10335,-5768,-4323,-2985,-2609,-2912,-3691,-3248,-3425,-5990
"2029 Leksand","Net profit/loss after financial items",-17418,-14940,-11184,-4724,2178,6494,-651,6125,25405,48936,4575,20042,40620,7665,7293,25374,31721,41094,37762,25709,-9754,9240,25716,35853,29326
"2029 Leksand","Net profit/loss for the year",-17418,-14940,-11184,-4724,2178,6494,-651,6125,25405,48936,4575,20042,40620,7665,7293,25374,31721,41094,37762,25709,-9754,9240,25716,35853,29326
"2031 Rättvik","Total income for operations",66377,69224,69294,72654,71482,76281,86447,133282,126950,119892,150323,139965,144537,148752,165960,157665,147158,163457,221249,190513,174870,163328,177053,183442,190520
"2031 Rättvik","Total costs for operations",-366667,-401495,-410147,-424430,-445153,-478642,-478883,-529968,-560918,-595957,-645608,-670597,-681288,-702279,-715683,-722270,-732985,-761978,-839881,-840501,-832963,-844652,-845992,-882973,-930684
"2031 Rättvik","Total net current costs",-331957,-356920,-365267,-376878,-398765,-428841,-419794,-426626,-458861,-499386,-517801,-540577,-546786,-563133,-558710,-573283,-595050,-608724,-628297,-659788,-667649,-690811,-679125,-710435,-751419
"2031 Rättvik","Tax revenues",222899,234459,254988,270689,278317,286963,296276,315614,331784,348163,361697,366390,374341,385680,397144,405666,417192,435139,453094,469524,472208,486303,476387,502436,534927
"2031 Rättvik","General grants and equalisation grants",103050,103066,109259,114887,131484,137571,129157,143220,147151,150003,159133,157731,167726,163723,158756,169771,172632,174794,185654,191586,177387,185327,221596,240673,240146
"2031 Rättvik","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-19181,18858,32674,23654
"2031 Rättvik","Financial income",6992,5121,3682,3241,3236,2951,2713,2658,12900,35552,16194,16664,13700,14558,14647,11928,7742,5846,5722,5606,7312,6499,5152,70043,54738
"2031 Rättvik","Financial costs",-12760,-11478,-10811,-10101,-9419,-9672,-7733,-9095,-9325,-9203,-10389,-6832,-5527,-8401,-7350,-5028,-383,-510,-355,-2312,-1447,-1595,-1759,-1036,-1823
"2031 Rättvik","Net profit/loss after financial items",-11953,-26187,-8960,828,4567,-11299,124,25520,23376,24780,8402,-7332,3202,-7573,4487,9054,2133,6545,15818,4616,-12189,-14277,22251,101681,76569
"2031 Rättvik","Net profit/loss for the year",-11953,-26187,-8960,828,4567,-11299,124,25520,23376,24780,8402,-7332,3202,-7573,4487,9054,2133,6545,15818,4616,-12189,-14277,22251,101681,76569
"2034 Orsa","Total income for operations",68243,65752,68359,67370,81495,96447,98751,91665,109894,125164,97260,95476,92256,89622,86915,85334,84265,93632,120150,109837,96664,90273,91787,97422,112371
"2034 Orsa","Total costs for operations",-277923,-276644,-293572,-298764,-327411,-351311,-352328,-355504,-381243,-412309,-396421,-404009,-412567,-422466,-428703,-433508,-445566,-453653,-487855,-497453,-495750,-501569,-503174,-532748,-559651
"2034 Orsa","Total net current costs",-228630,-229563,-241270,-250491,-264319,-278791,-273844,-283244,-293726,-308231,-322656,-323663,-334430,-339219,-349452,-355280,-368201,-368280,-376643,-398075,-410645,-423850,-424950,-449377,-462012
"2034 Orsa","Tax revenues",140229,148023,157158,167615,171168,174975,183060,194470,206669,215843,218793,226338,228102,236684,241003,244411,251081,263638,273424,285248,286365,294814,293717,312006,324342
"2034 Orsa","General grants and equalisation grants",83164,82897,87396,88707,100476,103051,92255,96735,94291,98373,104012,107707,113117,110030,106383,113131,115916,115947,117044,140690,135578,137329,162189,162738,167456
"2034 Orsa","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8293,30956,25367,29786
"2034 Orsa","Financial income",1209,704,820,879,922,863,631,744,898,1100,1214,468,1079,5074,4720,3324,1816,1675,2235,1088,2043,1507,803,8135,1065
"2034 Orsa","Financial costs",-4917,-3818,-3421,-3474,-3073,-2736,-1952,-1643,-1837,-2962,-3935,-2130,-1838,-5108,-1522,-1726,-377,-350,-298,-953,-678,-744,-1068,-673,-3724
"2034 Orsa","Net profit/loss after financial items",-9028,-1992,398,2798,4626,-3282,-490,6434,5679,3451,-3438,7460,5478,7461,1132,3860,235,12630,15762,27998,12663,9056,30691,32829,27127
"2034 Orsa","Net profit/loss for the year",-1211,-1992,398,2798,3186,-3282,-490,6434,5679,3451,-3438,7460,5478,7461,1132,3860,235,12630,15762,27998,12663,9056,30691,32829,27127
"2039 Älvdalen","Total income for operations",74831,75535,74385,74704,78313,83308,88459,91823,107633,100680,99393,109814,94749,74446,79507,90518,89180,105128,145546,115645,132360,104487,109440,113414,128599
"2039 Älvdalen","Total costs for operations",-336264,-343441,-346789,-358966,-349203,-376692,-385963,-399689,-423091,-431425,-443901,-454235,-452236,-439616,-431947,-453890,-470080,-513538,-569603,-565519,-581572,-571411,-577470,-595101,-621605
"2039 Älvdalen","Total net current costs",-282408,-290655,-293468,-308559,-296335,-317288,-323449,-334443,-342382,-361633,-375742,-368008,-378537,-385143,-372530,-386232,-399387,-420613,-437158,-463556,-461869,-478570,-483424,-497868,-511585
"2039 Älvdalen","Tax revenues",160482,158425,179856,190201,194772,197987,200765,211137,224977,229674,235572,239265,243173,252147,254332,255149,261795,272273,284648,295735,305030,311438,311779,325750,336790
"2039 Älvdalen","General grants and equalisation grants",116882,129223,113998,115141,122958,146715,132226,131642,127603,129685,145509,143328,146737,137547,133539,143935,148272,150042,157075,161529,157734,167463,182688,199334,209669
"2039 Älvdalen","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,332,11043,27216,34874
"2039 Älvdalen","Financial income",1229,247,48,314,1004,957,2315,392,268,167,102,3033,960,504,2431,3976,1663,418,1245,1063,3487,3198,2829,2407,3413
"2039 Älvdalen","Financial costs",-11776,-7897,-7574,-8878,-8462,-7681,-5744,-4836,-5992,-6834,-8574,-6418,-5355,-6188,-7292,-8372,-4014,-437,-992,-209,-1015,-1296,-1195,-811,-1276
"2039 Älvdalen","Net profit/loss after financial items",-15740,-10680,-7140,-11781,13835,20555,5966,3728,4333,-9090,-3133,11008,6668,-1133,10480,8456,8329,1683,4818,-5438,3367,2234,12676,28812,37011
"2039 Älvdalen","Net profit/loss for the year",18864,-10680,-26873,-11781,13835,20555,5966,3728,4333,-9090,-3133,11008,6668,-1133,10480,8456,8329,1683,4818,-5438,3367,12184,12676,28812,37011
"2061 Smedjebacken","Total income for operations",60843,68941,60573,53662,61868,69276,80180,81436,79976,78784,71924,64987,83208,94599,106150,103417,101591,114790,159423,144623,122400,110297,117954,108202,116389
"2061 Smedjebacken","Total costs for operations",-418525,-420078,-426478,-447350,-459923,-465721,-488571,-500123,-500324,-509046,-523719,-524357,-531529,-559702,-580367,-597740,-616312,-637423,-705313,-714726,-701200,-700547,-725138,-748333,-800007
"2061 Smedjebacken","Total net current costs",-378627,-371481,-386293,-414124,-418865,-417495,-444811,-437725,-450119,-449379,-470975,-472958,-461835,-477391,-488429,-507378,-531095,-535524,-561331,-585480,-594200,-606504,-627388,-669655,-705599
"2061 Smedjebacken","Tax revenues",285950,298161,319575,341853,341564,356013,362614,372754,389245,407535,420944,421172,424186,435367,444755,460188,467260,485810,499514,516925,515202,532472,526588,546491,568014
"2061 Smedjebacken","General grants and equalisation grants",84166,73128,68920,63284,73300,73628,89201,71935,67086,55104,59420,60191,71718,62664,61438,65147,73762,72388,91051,96742,99296,99809,130554,153409,172936
"2061 Smedjebacken","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25777,29754,30245,35351
"2061 Smedjebacken","Financial income",249,414,631,531,641,413,762,1820,2242,419,101,1204,860,951,921,1094,945,980,2274,2100,3700,3251,2513,1937,3002
"2061 Smedjebacken","Financial costs",-17663,-15004,-14453,-14637,-11564,-8975,-6124,-5032,-5873,-8733,-11605,-6643,-5931,-9842,-9829,-9721,-9342,-8375,-6127,-3900,-2400,-4529,-5212,-3190,-5664
"2061 Smedjebacken","Net profit/loss after financial items",-26287,-15314,-12472,-24311,-16395,1604,-217,2038,1053,3431,-3855,911,27428,11749,8856,9330,1530,15279,25381,26387,21598,24499,27055,28992,32689
"2061 Smedjebacken","Net profit/loss for the year",-27903,-15814,-12472,-54159,-16395,1604,-217,2038,1053,3334,-3855,911,5219,11749,8856,9330,1530,15279,25381,26387,21598,24499,27055,28992,32689
"2062 Mora","Total income for operations",141003,150617,136218,148374,168609,189174,225449,223547,199966,188521,192653,197511,215296,247515,303196,300978,279342,308539,420317,398711,366341,394501,389063,401309,436189
"2062 Mora","Total costs for operations",-694721,-738584,-706310,-747976,-819150,-888183,-916586,-913908,-943718,-964605,-997604,-1063368,-1090274,-1153966,-1225005,-1261836,-1298454,-1352168,-1466338,-1517934,-1531091,-1606854,-1609291,-1684812,-1781493
"2062 Mora","Total net current costs",-594902,-631571,-632111,-663445,-717746,-772704,-763452,-758039,-816764,-854051,-885675,-902955,-913973,-949212,-966171,-1006581,-1065931,-1092582,-1099582,-1167864,-1215918,-1260736,-1275351,-1341146,-1406486
"2062 Mora","Tax revenues",438417,469695,504077,539502,553043,597678,608213,637083,672454,707593,741790,742028,747105,769644,784728,812993,824497,869230,906791,942989,949146,975548,966494,1009221,1054966
"2062 Mora","General grants and equalisation grants",151492,137582,136409,133971,147165,161443,160235,183710,186489,178505,190579,197884,229387,218208,220260,232598,240612,226030,247118,257217,266272,284589,347499,375312,401038
"2062 Mora","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-599,38642,43387,49518
"2062 Mora","Financial income",2781,1729,540,1396,810,2437,2013,1495,3546,2395,23027,6962,5545,6918,6477,10343,15298,7324,10950,16817,21475,15841,10029,24460,4991
"2062 Mora","Financial costs",-10735,-8027,-7423,-8640,-10170,-7378,-6511,-9229,-5596,-5390,-12376,-4137,-1795,-5590,-22585,-19305,-10570,-4551,-5046,-4993,-6438,-5544,-5541,-4613,-20798
"2062 Mora","Net profit/loss after financial items",-13247,-31392,481,2317,-26992,-18492,24,54591,39597,28253,56706,39077,65499,39968,22709,30048,3906,5451,60231,44166,14537,9698,43130,63234,33711
"2062 Mora","Net profit/loss for the year",7585,-31392,481,2317,-26992,-18492,24,54591,39597,28253,56706,39077,65499,39968,22709,30048,3906,5451,60231,44166,14537,9698,28162,63234,33711
"2080 Falun","Total income for operations",435355,480459,497393,506156,513230,414157,457572,441842,479509,441999,458176,476980,478195,541902,531593,489062,499021,570287,637427,677608,672924,694817,728148,699008,671221
